tagged text	entity type	term id
ringens	-2	NCBI:1291387
ringens	-2	NCBI:1417422
Lamellibranchiata	-2	NCBI:6544
Mollusca	-2	NCBI:6447
fossil	-27	ENVO:00002164
coasts	-27	ENVO:00000303
oceanic	-27	ENVO:00000015
oceanic	-27	ENVO:00000207
oceanic	-27	ENVO:01000048
shores	-27	ENVO:00000304
littoral	-27	ENVO:00000303
littoral	-27	ENVO:00000316
Ligula	-2	NCBI:94844
Kellia	-2	NCBI:32588
abyssicola	-2	NCBI:83393
sima	-25	CLDB:0004300
muddy	-27	ENVO:01000001
sandy	-27	ENVO:01000017
fossil	-27	ENVO:00002164
fossils	-27	ENVO:00002164
Venus casina	-2	NCBI:380120
Diplodonta	-2	NCBI:102309
Archipelago	-27	ENVO:00000220
coasts	-27	ENVO:00000303
oceanic	-27	ENVO:00000015
oceanic	-27	ENVO:00000207
oceanic	-27	ENVO:01000048
Lamellibranchiata	-2	NCBI:6544
Ground	-27	ENVO:00001998
Teredo	-2	NCBI:263428
Clavagella	-2	NCBI:335798
Solen	-2	NCBI:165598
siliqua	-2	NCBI:489117
sandy	-27	ENVO:01000017
Solecurtus	-2	NCBI:444101
Ligula	-2	NCBI:94844
Mactra	-2	NCBI:120569
abyssicola	-2	NCBI:83393
mediterranea	-2	NCBI:1926659
guerinii	-2	NCBI:2015713
Corbula	-2	NCBI:52624
Poromya	-2	NCBI:228508
grav	-2	NCBI:33761
abbreviata	-2	NCBI:2017972
ford	-27	ENVO:00000411
Pandora	-2	NCBI:120446
Pandora	-2	NCBI:76016
Lyonsia	-2	NCBI:120441
striata	-25	BTO:0001311
Thracia	-2	NCBI:228489
arctica	-2	NCBI:59238
Venerupis	-2	NCBI:104386
vee	-2	NCBI:11036
Tellina	-2	NCBI:59234
serrata	-2	NCBI:544679
planata	-2	NCBI:109573
planata	-2	NCBI:1140891
planata	-2	NCBI:1324448
planata	-2	NCBI:1428880
planata	-2	NCBI:1510915
planata	-2	NCBI:151437
planata	-2	NCBI:1721073
planata	-2	NCBI:1895898
planata	-2	NCBI:1993801
planata	-2	NCBI:216072
planata	-2	NCBI:281901
planata	-2	NCBI:392990
planata	-2	NCBI:586306
planata	-2	NCBI:656696
planata	-2	NCBI:669770
