Pecten jacobaeus	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_167	MED-AegeanMolluscaAndRadiata_167
Pecten polymorphus	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_168	MED-AegeanMolluscaAndRadiata_168
Pecten opercularis	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_169	MED-AegeanMolluscaAndRadiata_169
Ostraea plicata	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_170	MED-AegeanMolluscaAndRadiata_170
Arca noae	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_171	MED-AegeanMolluscaAndRadiata_171
Pectunculus lineatus	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_172	MED-AegeanMolluscaAndRadiata_172
Nucula emarginata	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_173	MED-AegeanMolluscaAndRadiata_173
Arca margaritacea	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_174	MED-AegeanMolluscaAndRadiata_174
Cardita sulcata	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_175	MED-AegeanMolluscaAndRadiata_175
Cardita trapezia	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_176	MED-AegeanMolluscaAndRadiata_176
Cardium laevigatum	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_177	MED-AegeanMolluscaAndRadiata_177
Cardium papillosum	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_178	MED-AegeanMolluscaAndRadiata_178
Cardium exiguum	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_179	MED-AegeanMolluscaAndRadiata_179
Cardium echinatum	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_180	MED-AegeanMolluscaAndRadiata_180
Venus ovata	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_181	MED-AegeanMolluscaAndRadiata_181
Venus incompta	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_182	MED-AegeanMolluscaAndRadiata_182
Cytherea venetiana	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_183	MED-AegeanMolluscaAndRadiata_183
Cytherea apicalis	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_184	MED-AegeanMolluscaAndRadiata_184
Lucina spinifera	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_185	MED-AegeanMolluscaAndRadiata_185
Lucina sinuata	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_186	MED-AegeanMolluscaAndRadiata_186
Lucina commutata	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_187	MED-AegeanMolluscaAndRadiata_187
Tellina donacina	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_188	MED-AegeanMolluscaAndRadiata_188
Saxicava arctica	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_189	MED-AegeanMolluscaAndRadiata_189
Thracia pubescens	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_190	MED-AegeanMolluscaAndRadiata_190
Corbula nucleus	Port of Sumboli_1841-12-01_54.864	MED-AegeanMolluscaAndRadiata_191	MED-AegeanMolluscaAndRadiata_191
